Date,Open,High,Low,Close,Adj Close,Volume
2003-01-01,77.765610,78.412827,76.272034,76.969032,76.677353,58206
2003-01-02,77.666039,77.964752,74.181023,75.326096,75.040642,74320
2003-01-03,76.172455,77.367317,74.280594,74.678879,74.395874,48908
2003-01-06,74.330376,75.027382,71.691727,72.090012,71.816818,37222
2003-01-07,72.388725,73.085732,70.198151,70.397293,70.130516,31486
2003-01-08,70.596436,73.782738,70.546646,71.592155,71.320847,71188
2003-01-09,71.691727,72.189583,70.795578,71.293442,71.023270,30609
2003-01-10,72.289154,72.289154,69.700287,69.899429,69.634537,28705
2003-01-13,69.750076,70.447075,68.455643,69.202431,68.940178,37078
2003-01-14,69.202431,71.193863,68.804146,70.596436,70.328903,28573
2003-01-15,71.542366,72.139801,69.401573,69.650505,69.386559,62850
2003-01-16,69.799858,70.496864,68.206711,68.953499,68.692192,36887
2003-01-17,69.700287,70.496864,67.808426,68.555214,68.295418,49803
2003-01-20,68.107140,70.994720,67.808426,70.397293,70.130516,196134
2003-01-21,70.696007,71.592155,69.700287,69.849648,69.584946,87199
2003-01-22,69.202431,70.098579,68.455643,68.704567,68.444206,47931
2003-01-23,68.704567,69.152641,67.708855,67.808426,67.551460,53300
2003-01-24,67.708855,67.708855,64.821266,65.468483,65.220383,45643
2003-01-27,63.725979,63.725979,57.751667,59.095886,58.871937,43999
2003-01-28,59.743103,63.626408,59.743103,62.780045,62.542133,27040
2003-01-29,64.522552,65.617844,59.643532,62.829830,62.591728,27666
2003-01-30,63.228119,63.725979,61.585182,63.028976,62.790123,14089
2003-01-31,58.797173,64.721695,58.797173,64.323410,64.079651,23042
2003-02-03,62.531116,67.708855,62.531116,66.962067,66.708305,39758
2003-02-04,68.256500,69.600716,66.713135,68.007568,67.749847,47079
2003-02-05,66.314842,68.704567,65.219559,65.866776,65.617165,56786
2003-02-06,66.414421,67.708855,64.920837,67.111420,66.857094,49219
2003-02-07,66.962067,67.210991,65.319130,65.866776,65.617165,25487
2003-02-10,65.717415,65.717415,63.327690,63.775764,63.534081,14591
2003-02-11,64.721695,65.717415,64.174049,64.771484,64.526024,26844
2003-02-12,63.825550,64.721695,62.979191,63.477047,63.236496,5516
2003-02-13,63.477047,63.477047,63.477047,63.477047,63.236496,0
2003-02-14,59.743103,63.626408,59.743103,60.390320,60.161465,25084
2003-02-17,63.477047,63.576618,61.286469,62.182613,61.946964,56832
2003-02-18,63.228119,63.725979,61.834114,62.680473,62.442940,38372
2003-02-19,64.622124,64.622124,61.634968,61.933685,61.698982,16817
2003-02-20,61.236683,62.232399,60.738823,61.535397,61.302200,15464
2003-02-21,61.734543,63.775764,60.240963,62.033257,61.798176,63967
2003-02-24,63.526833,63.875336,62.232399,63.028976,62.790123,34057
2003-02-25,62.730259,62.730259,59.992035,60.689037,60.459049,23249
2003-02-26,61.087322,62.331970,59.743103,59.892464,59.665497,20784
2003-02-27,60.639252,61.286469,59.992035,60.788609,60.558243,15975
2003-02-28,63.228119,63.228119,59.295033,59.842674,59.615894,49256
2003-03-03,61.734543,62.730259,60.440105,61.137112,60.905426,47618
2003-03-04,62.381760,62.630688,60.738823,61.087322,60.855827,19383
2003-03-05,61.037537,61.037537,58.747387,59.892464,59.665497,20597
2003-03-06,59.992035,60.937965,59.743103,59.992035,59.764690,31146
2003-03-07,59.743103,60.240963,57.253807,57.851238,57.632004,31321
2003-03-10,55.959373,57.552525,55.660660,55.810017,55.598518,21829
2003-03-11,55.760231,57.403168,55.262371,56.556805,56.342476,38393
2003-03-12,58.249527,58.249527,55.859802,56.158520,55.945702,18350
2003-03-13,57.652096,57.751667,55.909588,56.307877,56.094494,15557
2003-03-14,56.307877,56.307877,56.307877,56.307877,56.094494,0
2003-03-17,56.556805,56.556805,52.623718,52.872646,52.672279,62038
2003-03-18,52.872646,52.872646,52.872646,52.872646,52.672279,0
2003-03-19,54.565369,54.963657,52.125858,52.474361,52.275505,64801
2003-03-20,52.773075,55.212585,51.876930,54.565369,54.358589,87722
2003-03-21,54.565369,54.565369,54.565369,54.565369,54.358589,0
2003-03-24,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-03-25,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-03-26,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-03-27,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-03-28,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-03-31,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-01,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-02,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-03,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-04,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-07,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-08,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-09,59.394604,59.394604,59.394604,59.394604,59.169521,0
2003-04-10,59.394604,59.394604,59.394604,59.394604,59.169521,0
